second,scheduled_tasks,started_tasks,conn_created,conn_ready,conn_failed,conn_closed,active_connecting,active_ready,waiting_for_server,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,225,176,155,144,0,0,48,144,49,144,0,0,0,0,144,176,7402,7390,25272,7141,13.18,818356224
1,0,49,70,81,0,0,14,225,14,81,0,0,0,0,81,225,7238,6826,28654,7717,25.81,829874176
2,0,0,0,0,0,142,0,225,6,0,144,142,142,0,428,0,7163,6701,29323,7816,7.14,836165632
3,372,131,92,90,0,83,19,90,17,90,81,83,83,0,337,131,7052,6923,28091,7494,5.06,825171968
4,0,241,265,127,0,0,224,217,229,127,0,0,0,0,127,372,6739,6168,30112,8426,21.66,844820480
5,101,101,116,256,0,90,139,444,21,256,90,90,90,0,526,458,6924,6168,30847,8482,37.9,846065664
6,77,77,77,77,0,127,15,435,24,77,127,127,127,0,458,435,6932,6132,32354,8426,20.24,841351168
7,0,0,0,0,0,256,0,333,4,0,256,256,256,0,768,0,6147,5468,30461,8218,20.29,837029888
8,0,0,0,0,0,77,0,77,6,0,77,77,77,0,231,0,5815,5698,28200,7656,6.1,823496704
12,899,97,64,51,0,0,17,51,18,49,0,0,0,0,49,97,4535,4522,27780,7551,1.17,821620736
13,0,358,49,54,0,0,16,105,310,56,0,0,0,0,56,455,4473,4276,29264,7812,16.18,826916864
14,0,78,410,219,0,16,384,308,386,199,30,16,16,0,261,523,4500,3782,32856,8796,32.43,849297408
15,0,178,159,345,0,89,199,564,20,362,75,89,89,0,615,606,4847,3847,33539,8590,37.27,850395136
16,0,188,217,230,0,199,185,670,185,233,199,199,199,0,830,792,5330,3994,36570,9111,33.12,870666240
17,333,51,35,8,0,340,27,595,38,8,362,361,353,0,1084,323,5532,4673,36491,8717,26.07,867766272
18,0,282,102,111,0,86,55,335,200,111,83,80,83,0,357,502,5084,4399,35726,8192,28.93,868597760
19,0,0,196,214,0,174,203,333,196,214,157,160,165,0,696,0,5198,4632,32149,8215,31.7,869068800
20,0,0,0,0,0,114,0,327,3,0,112,113,113,0,338,0,4928,4264,31890,8044,12.89,866746368
21,483,362,16,0,0,67,16,214,314,0,67,67,67,0,201,509,4693,4204,31693,7493,9.75,856743936
22,207,129,472,258,0,147,464,258,458,257,147,147,147,0,698,630,5389,4626,32178,7954,29.01,879751168
23,40,206,196,299,0,0,229,557,173,299,0,0,0,0,299,697,5953,4626,33604,8535,34.7,896503808
24,0,33,46,173,0,210,126,714,15,174,256,251,216,0,897,730,6041,4626,34129,8560,35.41,905912320
25,0,0,0,0,0,346,0,518,4,0,300,305,340,0,945,0,6094,5221,32499,8022,16.46,893767680
26,0,0,0,0,0,174,0,174,4,0,174,174,174,0,522,0,5634,5456,30057,7322,7.6,881152000
28,103,103,103,103,0,0,29,103,32,103,0,0,0,0,103,103,5616,5474,29671,6572,9.53,867454976
30,0,0,0,0,0,103,0,103,6,0,103,103,103,0,309,0,5694,5532,30380,6469,1.94,870981632
32,175,175,175,175,0,0,125,175,121,175,0,0,0,0,175,175,5728,5680,29915,5928,3.31,861118464
33,753,328,38,36,0,0,12,211,256,36,0,0,0,0,36,503,5663,5230,33058,6123,24.9,870858752
34,46,81,352,326,0,164,327,450,304,324,172,166,164,0,826,558,6108,5230,27788,7079,27.42,780898304
35,0,364,153,179,0,47,28,505,195,181,39,45,47,0,312,737,6468,5580,27521,6872,38.59,750501888
36,319,83,308,258,0,303,226,702,222,258,324,324,324,0,1230,763,6870,5424,33707,7866,40.89,770949120
37,0,262,237,209,0,202,109,488,118,202,181,181,181,0,745,583,6479,5522,32938,7227,33.68,768712704
38,347,123,134,204,0,258,81,562,31,210,258,258,258,0,984,442,6828,5690,35534,7470,37.58,813207552
39,0,224,242,54,0,168,198,427,194,55,168,168,168,0,559,555,7022,6156,35058,7020,25.79,826683392
40,195,56,25,220,0,192,198,441,30,218,205,203,203,0,829,363,7422,6716,28792,6944,26.19,798171136
41,0,139,170,173,0,107,30,397,29,175,94,96,96,0,461,401,7556,6932,26159,6910,22.27,789671936
42,336,242,163,160,0,203,36,393,63,160,203,203,203,0,769,433,7813,7178,28271,7023,22.54,799129600
43,0,94,173,176,0,190,142,410,146,176,190,190,190,0,746,523,8302,7426,28768,7498,34.49,804696064
44,81,81,82,82,0,160,37,336,37,82,160,160,160,0,562,374,8485,7798,27220,7208,22.03,802799616
45,336,75,20,13,0,176,17,258,38,13,176,176,176,0,541,157,8439,7908,27394,7134,17.88,804896768
46,0,261,316,95,0,80,311,110,293,88,82,82,80,0,332,418,8649,8256,28541,7027,13.48,810151936
47,0,0,0,228,0,15,228,336,2,235,13,13,15,0,276,0,8283,7596,27709,7174,36.46,818405376
48,0,0,0,0,0,88,0,323,6,0,88,88,88,0,264,0,7959,7296,26589,6939,8.1,814833664
49,0,0,0,0,0,235,0,235,6,0,235,235,235,0,705,0,7523,7382,24943,6334,8.26,803631104
51,77,77,55,41,0,0,20,41,19,41,0,0,0,0,41,77,7247,7232,23975,6144,1.44,798138368
52,454,150,137,123,0,0,28,164,26,123,0,0,0,0,123,227,7017,6848,25364,6376,11.12,802807808
53,62,223,248,262,0,6,62,423,60,258,27,23,22,0,330,450,7374,6842,26370,6935,23.25,817786880
54,0,143,153,167,0,158,103,493,102,171,137,141,142,0,591,516,7169,6194,29324,7443,35.73,828403712
55,0,0,0,0,0,254,0,429,7,0,255,255,254,0,764,0,7241,6476,28998,7191,27.13,836087808
56,0,0,0,0,0,175,0,175,7,0,174,174,175,0,523,0,6607,6273,27250,6753,7.07,826392576
57,134,134,134,134,0,0,18,134,20,134,0,0,0,0,134,134,6649,6568,26452,6526,6.23,820998144
59,400,32,0,0,0,134,0,134,18,0,134,134,134,0,402,32,6851,6606,28376,6831,2.07,831463424
60,388,373,229,72,0,0,157,72,315,72,0,0,0,0,72,405,6770,6630,22831,6742,13.73,767610880
61,0,125,264,412,0,0,326,484,174,412,0,0,0,0,412,530,7408,6631,28965,7574,34.66,682893312
62,0,202,228,214,0,72,46,626,46,214,72,72,72,0,430,660,7875,6753,32116,8042,38.58,716853248
