series,count,min_ms,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms,max_ms
find_input,87192,15.830,1395.210,627.815,4245.055,5211.006,7910.773,8398.339,9540.810
remove,87192,0.839,20.070,6.871,67.478,114.930,153.910,436.791,895.274
insert,87153,1.502,21.784,8.584,67.914,116.654,151.948,225.630,791.125
find_output,87152,0.576,18.649,5.972,45.505,111.776,157.506,230.210,743.946
task_cycle,87194,3527.037,7427.212,6736.244,10297.325,13032.120,16078.560,19250.926,21201.687
scheduler_queue,87194,0.008,35764.335,23266.154,83648.634,106679.240,153704.560,178221.569,192484.891
task_execution,87194,3527.048,7427.221,6736.251,10297.329,13032.132,16078.565,19250.938,21201.700
offered_to_finished,87194,3576.092,43191.556,31913.056,90672.770,113562.236,160450.465,185423.864,198689.940
offered_to_finished_arrival,72733,3576.092,37981.599,26680.682,83291.708,104688.247,143064.992,183835.018,198689.940
connection_open,87194,9.927,756.680,315.516,2275.775,3115.423,4176.692,4771.499,5347.355
demand_to_ready,87194,14.016,1380.725,606.343,4227.633,5190.886,7895.254,8389.127,9057.408
driver_open,87194,9.927,756.680,315.516,2275.775,3115.423,4176.692,4771.499,5347.355
handshake_hello,87194,0.402,6.722,1.076,10.023,23.631,131.458,216.238,517.851
handshake_auth,174388,0.220,16.637,4.785,38.363,101.318,167.864,258.653,509.748
client_create,87194,0.302,968.960,949.772,1551.645,1875.770,2706.734,4578.641,6404.902
