second,scheduled_tasks,started_tasks,conn_created,conn_ready,conn_failed,conn_closed,active_connecting,active_ready,waiting_for_server,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,187,187,187,187,0,0,23,187,23,187,0,0,0,0,187,187,14,0,504,23,4.7,82132992
1,602,602,323,318,0,0,34,505,30,318,0,0,0,0,318,789,434,0,5043,692,28.72,168095744
2,0,0,279,284,0,0,57,789,57,284,0,0,0,0,284,0,1177,0,11347,1532,45.04,280526848
3,652,522,151,115,0,2,37,902,23,111,82,71,64,0,328,1309,1592,0,14652,1937,27.89,344326144
4,0,130,238,256,0,11,55,1152,59,260,205,209,215,0,889,1438,1971,0,18551,2486,23.67,407384064
5,231,57,232,214,0,220,61,1199,55,214,396,399,400,0,1409,1398,2397,0,22521,2985,37.67,451461120
6,582,655,253,280,0,523,45,1145,30,277,106,110,110,0,603,1397,2119,0,23402,2841,36.86,498176000
7,136,103,292,286,0,33,37,1151,47,284,250,250,249,0,1033,1475,1913,0,23854,2468,38.73,537251840
8,0,73,251,205,0,53,61,1346,61,191,200,198,196,0,785,1501,2431,0,28106,3025,41.65,609902592
9,778,525,253,297,0,497,68,1333,29,315,249,248,246,0,1058,1527,2682,0,25405,3280,35.05,641015808
10,462,62,296,290,0,89,49,1304,45,289,306,298,299,0,1192,1521,2333,0,25940,2936,36.08,663613440
11,407,480,231,247,0,467,31,1344,29,248,226,236,240,0,950,1510,2701,0,29130,3260,34.71,679120896
12,128,239,317,278,0,140,73,1226,76,279,253,254,248,0,1034,1601,2239,0,29051,2824,37.96,683061248
13,233,83,231,245,0,155,88,1318,76,229,254,243,248,0,974,1601,2712,0,33485,3334,32.5,730959872
14,407,402,247,264,0,462,42,1315,36,273,327,335,335,0,1270,1506,2666,0,25310,3269,33.2,734240768
15,119,302,297,122,0,195,190,1164,50,128,266,251,229,0,874,1617,2360,0,22313,2943,34.41,746352640
16,149,12,220,366,0,123,190,1291,113,367,290,299,305,0,1261,1565,2493,0,25211,3160,30.52,745406464
17,513,506,238,267,0,497,73,1318,71,266,224,227,239,0,956,1474,2637,0,25863,3253,34.83,757407744
18,811,189,282,281,0,117,50,1222,53,281,198,204,207,0,890,1546,2223,0,21673,2870,32.42,693645312
19,466,207,264,213,0,233,75,1256,81,209,245,242,242,0,938,1604,2535,0,24846,3171,35.18,725491712
20,0,89,231,263,0,163,66,1336,42,264,333,326,323,0,1246,1520,2613,1,25927,3217,37.99,728129536
21,468,513,248,252,0,460,45,1296,46,256,198,207,211,0,872,1513,2402,2,24545,3059,38.54,674836480
22,529,104,273,282,0,112,54,1260,42,275,250,251,252,0,1028,1496,2350,2,26105,2956,35.17,692580352
23,0,322,212,224,0,372,75,1267,51,229,288,287,287,0,1091,1505,2588,2,29130,3265,31.78,727269376
24,204,277,263,271,0,215,42,1168,33,262,216,215,214,0,907,1513,2157,2,24110,2770,33.98,694833152
25,293,141,268,261,0,162,49,1284,47,271,267,268,267,0,1073,1511,2452,2,23840,3103,34.75,689709056
26,717,460,251,244,0,443,46,1275,44,242,299,260,242,0,1043,1537,2518,2,25537,3163,37.95,708902912
27,154,153,241,214,0,86,55,1201,86,217,208,241,253,0,919,1566,2247,2,24833,2852,34.43,708411392
28,807,211,265,303,0,312,147,1269,160,299,272,274,279,0,1124,1566,2623,2,25090,3336,32.67,680796160
29,279,330,267,239,0,309,41,1195,41,241,258,262,265,1,1026,1485,2332,2,25449,3010,31.72,696594432
30,310,174,274,265,0,183,55,1199,49,267,263,263,263,0,1056,1519,2294,2,23667,2917,35.14,685830144
31,805,408,251,289,0,374,74,1241,70,289,231,220,217,0,957,1547,2510,2,24413,3141,35.58,707047424
32,114,123,280,274,0,107,50,1281,49,273,255,265,268,0,1061,1526,2281,2,22408,2929,31.97,698343424
33,242,272,203,204,0,324,50,1304,39,202,264,265,265,0,996,1538,2637,2,24704,3264,35.91,711577600
34,826,303,300,270,0,274,42,1182,44,273,274,258,248,0,1053,1505,2345,2,24839,2956,39.41,702406656
35,500,179,232,241,0,218,46,1235,44,241,255,269,265,0,1030,1483,2366,2,26753,3005,29.37,711843840
36,118,297,263,257,0,290,63,1225,65,255,257,253,267,0,1032,1492,2445,2,25017,3066,29.23,699731968
37,130,185,231,265,0,234,52,1257,55,267,264,269,269,1,1069,1503,2362,2,23567,3000,34.64,699666432
38,366,373,267,253,0,321,27,1205,27,253,229,222,217,0,921,1474,2374,2,23936,2990,33.8,724676608
39,179,209,248,255,0,188,39,1180,35,255,271,270,273,0,1069,1495,2266,2,25005,2884,43.31,714002432
40,494,267,296,280,0,300,49,1289,51,277,284,292,294,0,1147,1568,2500,2,23938,3134,33.12,689397760
41,294,428,313,111,0,302,271,1177,261,108,181,181,181,0,651,1649,2324,2,24768,2945,31.5,707747840
42,120,14,174,283,0,37,226,1232,100,289,262,257,251,0,1059,1592,2501,2,25961,3190,39.16,710455296
43,226,61,222,335,0,229,118,1388,96,332,332,337,343,0,1344,1566,2696,2,25905,3430,34.56,727568384
44,0,540,251,250,0,491,74,1317,77,250,185,185,185,0,805,1446,2400,2,25837,3069,30.91,722993152
45,817,275,306,206,0,164,121,1192,120,202,278,211,210,0,901,1633,2289,2,22342,2910,37.31,692756480
46,523,21,237,305,0,18,106,1406,88,302,202,267,266,1,1037,1563,2580,2,24839,3282,35.25,720465920
47,588,503,218,232,0,597,63,1436,43,240,261,262,264,0,1027,1561,2902,2,27300,3528,35.05,741285888
48,222,107,271,277,0,133,55,1185,44,279,317,310,310,0,1216,1482,2182,2,25242,2834,33.7,725176320
49,349,242,228,228,0,263,49,1328,54,226,230,237,237,0,930,1499,2577,2,28756,3211,34.06,740077568
50,0,378,283,280,0,316,47,1154,52,282,263,259,258,0,1062,1496,2296,0,24180,2933,37.92,717828096
51,375,183,265,260,0,179,47,1206,47,259,247,250,251,0,1007,1509,2369,0,26764,3015,39.85,740061184
52,0,205,220,233,0,284,45,1242,45,234,274,275,275,0,1058,1509,2561,0,25386,3215,36.34,743374848
53,0,356,291,266,0,290,73,1144,70,258,231,231,231,0,951,1495,2302,0,24427,2942,33.92,747184128
54,802,150,240,256,0,141,64,1235,60,262,263,241,232,0,998,1494,2388,0,23301,3058,34.71,741953536
55,513,249,218,211,0,306,69,1235,58,208,253,275,284,0,1020,1484,2461,0,25121,3113,32.8,743165952
56,250,293,264,267,0,263,34,1178,34,272,253,243,232,1,1000,1483,2312,0,23779,2933,43.18,734830592
57,246,639,354,87,0,318,293,1177,387,87,185,182,191,0,645,1777,2251,0,26204,3255,28.5,745644032
58,509,17,231,312,0,26,403,1199,193,312,205,207,201,0,925,1786,2380,0,27814,3492,31.97,754790400
59,234,19,205,217,0,100,213,1364,224,216,247,256,264,0,983,1768,2974,0,28969,3909,33.35,756703232
60,185,53,154,333,0,346,224,1345,129,317,319,318,318,0,1272,1686,2910,0,29381,3778,33.17,764862464
61,169,637,245,241,0,413,31,1311,63,258,108,102,92,0,560,1619,2476,0,25101,3166,35.57,760860672
62,692,32,294,278,0,45,114,1364,119,274,290,298,297,0,1159,1626,2561,0,27828,3242,38.02,761049088
63,528,208,218,256,0,294,76,1474,73,259,264,264,275,0,1062,1608,2918,0,27501,3660,33.18,746176512
64,652,285,164,159,0,398,48,1324,50,155,291,281,281,0,1008,1556,2281,0,25847,2946,36.14,746053632
65,0,82,90,78,0,48,76,1135,110,83,133,142,142,0,500,1438,2259,0,27181,2982,24.32,754831360
66,1383,181,242,259,0,397,167,1115,147,258,389,346,345,0,1338,1466,2351,0,24034,3163,21.59,738824192
67,0,250,197,167,0,282,65,996,76,168,218,261,262,1,909,1223,1997,0,20587,2702,30.01,750866432
68,0,463,213,232,0,269,47,892,132,232,120,120,120,0,592,1384,1804,0,21196,2495,45.64,726859776
69,345,172,326,322,0,90,236,1064,243,320,113,113,113,0,659,1483,1900,0,21942,2797,34.78,738201600
70,594,94,283,149,0,18,168,1190,151,139,223,216,216,0,794,1542,2240,0,22670,2945,32.64,726474752
71,341,327,228,340,0,367,152,1318,48,352,268,275,274,0,1169,1555,2731,0,25870,3430,33.96,743997440
72,0,546,419,113,0,318,346,1169,343,113,225,189,168,0,695,1789,2257,0,25250,2911,33.01,741560320
73,244,42,113,261,0,34,347,1204,201,261,243,279,301,0,1084,1750,2679,0,26218,3521,31.67,738775040
74,0,4,218,274,0,9,297,1456,191,273,129,129,129,0,660,1740,3007,0,30074,4044,28.21,758480896
75,0,260,166,302,0,610,142,1488,86,300,427,426,422,1,1575,1730,3045,0,30503,3990,27.7,782204928
76,742,574,313,305,0,282,41,1165,47,304,56,56,60,0,476,1675,1994,0,26418,2792,37.43,757325824
77,131,97,321,137,0,32,239,1270,235,140,281,280,280,0,981,1752,2561,0,31166,3332,39.07,784039936
78,500,41,182,280,0,161,198,1490,119,279,310,308,305,0,1202,1742,3017,0,29484,3918,50.52,798547968
79,530,359,184,280,0,575,111,1403,79,281,328,329,332,0,1270,1619,2890,0,29437,3699,31.67,763850752
80,621,221,246,237,0,192,32,1140,60,238,277,273,271,0,1059,1437,2161,0,27648,2945,34.61,753242112
81,432,295,224,237,0,311,40,1202,59,237,237,243,245,0,962,1501,2343,1,23928,3176,36.29,768892928
82,285,724,217,0,0,228,217,1065,601,0,70,62,62,0,194,1913,2325,1,27254,3744,32.77,781676544
83,0,33,430,244,0,25,598,1056,410,244,246,253,253,0,996,1921,2362,1,27697,3807,65.94,783056896
84,238,14,130,332,0,20,403,1368,248,332,152,151,123,0,758,1925,2817,1,30293,4161,33.5,791101440
85,285,87,302,292,0,365,340,1401,264,287,359,361,389,0,1396,1922,3063,1,32442,4292,31.7,801927168
86,0,675,362,230,0,382,343,1295,343,231,39,39,39,0,348,1934,2582,1,30782,3709,40.46,788901888
87,196,25,60,373,0,35,345,1498,196,377,284,247,245,0,1153,1936,2773,1,28235,3811,32.62,810778624
88,268,594,135,23,0,302,150,1495,503,15,154,186,164,0,519,2214,3247,1,31448,4226,30.61,819744768
89,114,32,545,137,0,50,550,1291,554,145,257,258,278,0,938,2209,3339,1,35250,4843,33.4,834748416
90,158,30,193,303,0,153,558,1439,255,295,216,220,223,0,954,2206,0,0,0,0,0,0
91,169,30,126,364,0,356,443,1612,133,371,422,387,372,0,1552,2072,3596,1,35472,4687,32.92,847859712
92,0,493,161,347,0,580,202,1473,53,347,180,215,231,0,973,1730,3095,1,33279,4092,33.36,834977792
93,220,209,276,285,0,95,91,1404,92,259,190,190,190,0,829,1779,2618,1,32568,3409,32.31,859283456
94,0,39,281,211,0,93,90,1563,91,238,373,330,312,0,1253,1783,2968,1,35491,3761,36.59,890548224
95,947,551,206,277,0,676,82,1522,41,276,297,340,358,0,1271,1718,3082,1,37804,3927,31.04,931618816
96,213,46,290,214,0,97,125,1242,111,215,345,342,342,1,1244,1593,2386,1,37004,3290,30.46,951398400
