series,count,min_ms,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms,max_ms
find_input,82590,16.116,1649.221,496.574,3738.264,10399.215,14081.927,14672.650,15168.533
remove,82589,0.825,20.159,6.752,52.141,112.195,166.767,596.866,1407.875
insert,82554,1.484,21.320,8.184,59.462,112.641,165.725,257.345,683.621
find_output,82554,0.542,17.580,5.442,38.096,104.945,172.847,252.851,675.009
task_cycle,84495,3535.695,7835.232,6624.613,11013.845,18839.918,25470.524,26884.845,30206.839
scheduler_queue,84495,0.013,37400.938,25173.243,94276.789,116799.163,150055.726,197557.004,212140.715
task_execution,84495,3535.711,7835.264,6624.639,11013.892,18839.994,25470.623,26884.952,30206.958
offered_to_finished,84495,3545.231,45236.202,32530.015,102319.382,124677.815,161885.833,203494.121,217868.277
offered_to_finished_arrival,70363,3545.231,36843.551,27426.745,78748.547,96369.280,146351.527,169364.844,203740.327
connection_open,82590,10.382,868.417,262.698,2125.763,5085.814,7455.773,8309.019,8842.434
demand_to_ready,82590,13.686,1634.854,487.433,3717.788,10394.353,14059.650,14658.805,15167.368
driver_open,82590,10.382,868.417,262.698,2125.763,5085.814,7455.773,8309.019,8842.434
handshake_hello,82590,0.470,6.016,1.046,8.630,20.042,124.531,221.310,585.805
handshake_auth,165180,0.218,16.034,4.198,35.116,98.023,182.278,280.172,549.673
client_create,84495,0.315,1008.447,985.739,1644.508,1928.184,2754.663,4207.512,6533.427
