series,count,min_ms,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms,max_ms
find_input,88660,20.340,1001.684,512.842,2685.673,3219.693,4895.749,5498.427,6898.863
remove,88657,1.034,20.186,6.870,67.697,115.796,157.046,301.836,1059.708
insert,88620,1.561,23.259,8.790,79.336,120.800,157.396,234.805,831.778
find_output,88617,0.680,19.987,6.231,54.390,116.186,167.692,252.386,703.739
task_cycle,88660,3551.058,6872.734,6551.342,9012.095,9718.246,10788.670,11768.908,13448.030
scheduler_queue,88660,0.012,33980.679,24777.820,77793.958,96249.977,134977.006,182345.117,200409.482
task_execution,88660,3551.068,6872.749,6551.354,9012.122,9718.257,10788.687,11768.923,13448.048
offered_to_finished,88660,3605.566,40853.427,32051.285,84936.582,103635.399,142078.358,189949.669,207910.537
offered_to_finished_arrival,73869,3605.566,35956.159,26197.210,78526.643,98146.865,132393.132,170710.781,191396.615
connection_open,88660,10.670,561.300,281.556,1509.286,1985.634,2882.773,3561.226,4482.671
demand_to_ready,88660,18.262,985.943,500.789,2669.338,3206.602,4852.726,5440.759,6897.331
driver_open,88660,10.670,561.300,281.556,1509.286,1985.634,2882.773,3561.226,4482.671
handshake_hello,88660,0.405,7.299,1.107,10.885,27.555,140.101,223.433,429.990
handshake_auth,177320,0.333,18.804,5.455,45.325,110.982,185.324,289.813,456.339
client_create,88660,0.274,966.970,954.409,1502.174,1754.272,2451.040,3621.916,5412.996
