series,count,min_ms,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms,max_ms
find_input,86831,16.347,1515.381,480.506,4925.144,6571.791,8113.095,8418.431,9359.973
remove,86806,0.737,18.524,6.637,40.170,107.995,155.090,546.307,833.948
insert,86779,1.368,19.174,7.898,41.389,106.119,150.159,201.414,1075.241
find_output,86778,0.555,16.452,4.908,33.610,103.955,161.474,253.149,669.383
task_cycle,86916,3537.972,7607.743,6713.286,11194.510,13909.872,18235.512,20804.097,24457.360
scheduler_queue,86916,0.007,37394.772,24083.705,88509.246,115907.180,167954.440,208157.048,240220.791
task_execution,86916,3537.987,7607.775,6713.315,11194.556,13909.932,18235.590,20804.187,24457.466
offered_to_finished,86916,3604.808,45002.548,32077.523,96619.769,123004.112,174353.544,215616.342,251997.470
offered_to_finished_arrival,70396,3604.808,34818.708,24755.095,74695.606,94240.632,139727.899,196137.451,234362.517
connection_open,86831,8.289,823.948,256.353,2606.678,3354.638,4914.272,5860.409,6073.369
demand_to_ready,86831,15.313,1498.536,470.119,4880.546,6551.784,8077.846,8345.239,9354.053
driver_open,86831,8.289,823.948,256.353,2606.678,3354.638,4914.272,5860.409,6073.369
handshake_hello,86831,0.446,6.415,1.103,8.769,20.843,133.883,223.493,400.842
handshake_auth,173662,0.233,14.975,3.917,33.195,89.168,169.450,241.981,721.700
client_create,86916,0.297,1003.067,989.662,1560.875,1922.582,2986.514,4270.359,5873.856
