second,scheduled_tasks,started_tasks,conn_created,conn_ready,conn_failed,conn_closed,active_connecting,active_ready,waiting_for_server,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,616,518,272,260,0,0,53,260,35,259,0,0,0,0,259,518,6,0,509,23,2.46,80859136
1,771,646,368,364,0,0,37,624,36,364,0,0,0,0,364,1164,647,0,7276,1000,40.07,214056960
2,405,359,351,348,0,0,37,972,38,348,0,0,0,0,348,1523,1356,0,14032,1945,50.4,319537152
3,0,269,344,348,0,3,40,1317,41,349,73,62,57,0,541,1792,2075,0,19740,2652,42.16,410542080
4,526,15,224,181,0,7,67,1491,107,176,317,321,322,0,1136,1799,2732,0,24873,3312,43.29,511668224
5,445,3,226,169,0,198,143,1552,131,127,285,272,255,0,939,1713,3364,0,30571,4109,34.05,625459200
6,214,483,149,225,0,738,115,1455,37,272,441,458,476,0,1647,1475,2836,0,28063,3465,35.85,634236928
7,0,105,263,271,0,115,47,1105,51,270,283,280,281,0,1114,1346,2090,0,26279,2668,43.16,633716736
8,164,466,258,280,0,379,52,1122,45,280,161,167,168,0,776,1424,2258,0,28514,2873,36.59,646397952
9,981,240,308,250,0,131,67,1172,82,251,200,200,200,0,851,1583,2120,0,30291,2751,45.72,687747072
10,173,116,239,279,0,100,74,1304,61,257,228,227,222,0,934,1553,2444,0,33269,3075,38.91,733204480
11,317,294,240,236,0,352,45,1365,44,258,296,286,289,1,1129,1579,2760,0,36228,3364,43.21,795664384
12,233,249,225,242,0,268,43,1215,42,232,270,280,283,0,1065,1497,2378,0,24186,2981,37.01,798236672
13,1365,274,281,284,0,308,42,1212,43,291,311,311,311,0,1224,1481,2385,0,23604,3026,38.89,813936640
14,254,310,267,266,0,284,80,1150,78,264,239,239,239,0,981,1503,2305,0,22297,2933,37.17,815280128
15,246,253,286,286,0,225,65,1241,66,291,220,220,220,0,951,1506,2345,0,24543,2964,36.45,807170048
16,777,270,258,222,0,221,58,1292,65,222,236,236,236,0,930,1544,2577,0,25236,3196,38.45,809398272
17,454,275,285,293,0,262,72,1252,78,292,270,267,264,0,1093,1573,2476,0,24575,3086,34.75,803385344
18,260,261,289,173,0,272,175,1252,168,169,264,266,264,1,963,1674,2498,0,25459,3256,30,723804160
19,0,17,218,321,0,30,155,1405,76,324,303,273,271,0,1171,1549,2655,0,27155,3317,46.08,715788288
20,248,569,256,261,0,580,67,1410,67,245,242,272,279,0,1038,1529,2504,0,25773,3161,30.42,724692992
21,369,82,278,314,0,73,67,1327,62,326,233,233,233,0,1025,1528,2329,0,26572,2991,41.01,725692416
22,0,397,233,215,0,396,42,1338,54,213,290,289,289,1,1081,1572,2695,0,25600,3339,35.72,716337152
23,0,146,269,276,0,133,64,1289,53,284,244,244,244,0,1016,1581,2459,1,23912,3099,31.79,716259328
24,740,412,275,267,0,424,118,1304,117,263,287,284,281,0,1115,1613,2556,1,25559,3258,35.22,734547968
25,593,106,264,265,0,175,66,1248,57,266,299,299,302,0,1166,1551,2520,1,26964,3150,40.82,737390592
26,570,443,263,282,0,389,42,1276,42,285,247,249,249,1,1030,1545,2533,1,24639,3187,34.09,717299712
27,226,183,283,264,0,159,65,1255,63,264,235,232,232,0,963,1542,2339,1,26223,3009,40.03,730939392
28,718,190,240,224,0,244,73,1270,52,219,297,298,280,0,1094,1557,2577,1,25677,3255,28.53,733257728
29,550,383,277,305,0,351,46,1255,48,310,261,250,268,0,1089,1528,2460,1,25152,3161,33,735793152
30,299,160,274,250,0,179,63,1225,66,248,241,254,254,0,997,1534,2330,1,25658,2971,35.95,731750400
31,573,270,237,271,0,298,62,1294,57,268,277,271,267,0,1083,1563,2564,1,25631,3248,33.62,724590592
32,225,414,279,243,0,336,55,1249,68,247,270,276,280,0,1073,1553,2528,1,24749,3183,32.98,731480064
33,225,65,263,283,0,146,95,1252,74,268,256,256,256,0,1036,1559,2449,1,26474,3133,49.5,731860992
34,405,386,255,258,0,371,64,1269,57,268,267,267,267,0,1069,1510,2559,1,24756,3187,34.97,711229440
35,266,252,268,263,0,234,49,1177,65,268,274,272,271,0,1085,1531,2289,1,25546,2938,41.95,726188032
36,345,327,304,229,0,226,153,1204,168,227,185,177,175,0,764,1666,2463,1,24953,3094,38.81,726138880
37,585,89,270,261,0,105,110,1317,104,263,311,314,314,0,1202,1586,2490,1,25283,3199,40.3,739581952
38,544,450,199,293,0,503,111,1418,61,290,269,251,253,0,1063,1586,2887,1,26724,3550,31.51,750346240
39,717,334,341,120,0,186,237,1103,249,124,220,241,233,1,818,1710,2240,1,26190,2934,33.63,733138944
40,245,22,166,399,0,85,243,1356,105,374,242,238,247,0,1101,1680,2661,1,25885,3389,30.79,729235456
41,221,250,267,265,0,362,150,1458,117,290,300,307,307,0,1204,1617,2844,1,26883,3586,34.48,751861760
42,0,342,288,265,0,357,102,1258,80,262,282,282,282,0,1108,1503,2490,1,26581,3186,31.3,734748672
43,144,429,290,305,0,257,67,1322,71,298,141,141,141,0,721,1685,2409,1,23653,3081,35.84,725307392
44,253,98,283,277,0,104,165,1387,169,270,292,292,292,0,1146,1701,2537,1,24914,3205,31.58,749625344
