series,count,min_ms,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms,max_ms
find_input,85629,18.228,1257.459,557.277,3375.035,4918.771,6527.303,7790.892,10467.056
remove,85609,1.213,20.097,6.893,63.045,115.475,154.436,276.585,1133.644
insert,85573,1.621,22.837,8.628,80.147,121.125,163.427,218.814,645.667
find_output,85572,0.696,20.622,6.064,61.949,119.990,177.055,279.585,637.899
task_cycle,85629,3541.064,7232.540,6733.922,9813.199,11902.389,14205.299,15734.094,20224.723
scheduler_queue,85629,0.007,31037.758,22242.323,71738.009,94037.857,132590.013,179684.442,210736.426
task_execution,85629,3541.065,7232.559,6733.951,9813.198,11902.387,14205.300,15734.095,20224.721
offered_to_finished,85629,3666.713,38270.317,29482.472,79240.289,100735.567,139469.213,185664.056,216505.150
offered_to_finished_arrival,73166,3666.713,35473.228,26247.301,75632.800,97082.498,129350.160,163962.061,179431.268
connection_open,85629,10.982,697.678,298.592,1925.241,2734.956,3786.880,4840.206,6684.775
demand_to_ready,85629,16.098,1236.731,538.250,3326.941,4830.264,6494.303,7780.884,10463.939
driver_open,85629,10.982,697.678,298.592,1925.241,2734.956,3786.880,4840.206,6684.775
handshake_hello,85629,0.383,7.074,1.125,10.108,26.390,139.052,226.761,435.173
handshake_auth,171258,0.339,18.423,5.438,46.566,110.641,164.040,243.422,500.101
client_create,85629,0.293,963.932,951.945,1509.459,1842.936,2684.331,4181.158,5953.468
