series,count,min_ms,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms,max_ms
find_input,86838,16.076,1306.265,551.473,3390.071,4184.639,6295.890,6933.737,7346.686
remove,86838,0.817,18.590,6.738,45.904,113.887,148.866,230.350,394.887
insert,86797,1.558,20.993,8.143,57.931,117.011,156.311,225.604,1090.868
find_output,86797,0.555,18.427,5.257,47.323,116.213,166.817,240.735,1045.541
task_cycle,86842,2682.303,7296.672,6879.076,9895.440,11161.579,13590.897,15027.809,17205.922
scheduler_queue,86842,0.013,37179.612,26839.320,86712.058,111154.810,156994.057,204287.026,220148.141
task_execution,86842,2682.313,7296.701,6879.089,9895.454,11161.634,13592.546,15027.850,17205.968
offered_to_finished,86842,3622.409,44476.312,34873.072,95799.607,119048.346,164288.976,209327.041,225207.325
offered_to_finished_arrival,73523,3622.409,41531.471,29787.295,93641.384,115895.556,161201.535,209169.002,223257.208
connection_open,86842,10.051,717.431,281.425,1975.714,2431.908,3817.836,4719.572,5161.281
demand_to_ready,86842,13.705,1289.448,535.360,3369.007,4165.700,6267.528,6924.226,7343.205
driver_open,86842,10.051,717.431,281.425,1975.714,2431.908,3817.836,4719.572,5161.281
handshake_hello,86842,0.384,6.785,1.070,9.390,23.485,132.958,248.770,569.134
handshake_auth,173684,0.228,15.084,4.349,34.413,90.183,152.187,219.893,371.808
client_create,86842,0.283,962.456,950.641,1509.682,1866.714,2486.377,3711.849,5544.477
