second,scheduled_tasks,started_tasks,conn_created,conn_ready,conn_failed,conn_closed,active_connecting,active_ready,waiting_for_server,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,225,225,187,39,0,0,148,39,178,39,0,0,0,0,39,225,7484,7474,3244,35,4.98,346808320
1,0,0,38,186,0,0,147,225,38,186,0,0,0,0,186,0,7993,7346,8571,710,27.63,404770816
2,0,0,0,0,0,39,0,225,4,0,39,39,39,0,117,0,7511,6826,8647,710,12.97,406573056
3,372,215,131,78,0,186,71,186,83,77,186,186,186,0,635,215,7476,6878,5230,593,5.81,402898944
4,0,157,241,211,0,0,147,289,219,198,0,0,0,0,198,372,7225,6580,5835,711,39.58,336896000
5,101,101,101,184,0,77,82,473,78,198,77,77,77,0,429,473,7468,6342,9631,1151,46.37,381321216
6,77,77,77,77,0,198,59,419,67,77,198,198,198,0,671,419,7037,5804,10856,1199,23.31,383209472
7,0,0,0,0,0,198,0,275,5,0,198,198,198,0,594,0,6799,6014,8667,569,26.75,381661184
8,0,0,0,0,0,77,0,77,3,0,77,77,77,0,231,0,6032,5714,7236,266,7.75,373018624
12,899,143,63,32,0,0,32,32,82,32,0,0,0,0,32,143,4538,4526,6144,35,1.37,368955392
13,0,283,262,259,0,0,85,291,96,258,0,0,0,0,258,426,4798,4274,10532,617,20.16,396517376
14,0,117,203,224,0,32,99,483,99,224,32,32,32,0,320,511,5582,4274,10645,1305,47.45,437264384
15,0,327,32,45,0,54,27,496,302,46,54,54,54,0,208,784,5492,3908,13073,1549,44.28,435396608
16,0,29,251,251,0,178,134,553,335,251,186,182,182,0,801,813,6253,4172,18582,2216,30.11,468496384
17,333,116,103,88,0,296,88,547,96,88,288,290,290,2,956,455,6309,4528,16303,1650,54.15,452448256
18,0,155,225,192,0,139,97,471,98,192,193,176,149,0,710,557,5970,4486,17150,1548,28.9,452673536
19,0,62,93,141,0,200,48,391,45,141,146,163,190,0,640,464,6024,4596,12035,1291,47.29,471867392
20,0,0,0,0,0,192,0,333,7,0,192,192,192,0,576,0,5250,4226,9347,988,23.34,449941504
21,483,365,133,133,0,87,89,187,217,133,87,87,87,0,394,419,5036,4342,8070,617,9.3,438419456
22,247,129,349,131,0,54,257,264,342,112,54,54,54,0,274,537,5771,4516,11102,1378,46.49,385576960
23,0,235,83,301,0,66,217,504,148,320,66,66,66,0,518,663,6128,4624,12753,1546,42.25,399671296
24,0,1,165,165,0,177,77,597,150,165,177,177,177,0,696,664,6706,4890,16171,1823,42.97,428208128
25,0,0,0,0,0,322,0,487,3,0,322,322,322,0,966,0,6598,5138,13269,1448,26.26,423956480
26,0,0,0,0,0,165,0,165,4,0,165,165,165,0,495,0,5808,5174,8783,491,15.2,401780736
27,103,103,103,103,0,0,68,103,79,103,0,0,0,0,103,103,5542,5474,6621,31,6.45,391766016
29,0,0,0,0,0,103,0,103,3,0,103,103,103,0,309,0,5795,5474,9072,336,1.57,407076864
31,175,175,174,158,0,0,137,158,136,126,0,0,0,0,126,175,5692,5680,7615,27,1.56,399294464
32,753,392,213,17,0,0,212,175,384,49,0,0,0,0,49,567,6165,5628,11813,552,33.57,424062976
33,46,61,230,319,0,10,235,491,195,319,30,11,11,0,371,619,6797,5230,13811,1735,30.79,493744128
34,0,209,195,232,0,165,124,551,87,232,145,164,164,0,705,662,7176,5344,15715,1891,49.66,492011520
35,0,137,135,187,0,112,86,695,62,187,231,226,119,0,763,760,7565,5572,18292,2027,47.59,512221184
36,319,181,165,193,0,375,44,626,45,190,320,303,377,0,1190,571,7753,5892,16488,1709,48.41,509366272
37,347,170,181,175,0,251,110,444,111,177,187,209,242,0,815,544,7334,5736,17150,1416,48.36,501645312
38,0,315,114,91,0,47,48,419,254,92,69,51,47,0,259,681,7442,5978,18689,1394,55.88,520249344
39,0,0,233,268,0,304,215,509,235,268,295,313,317,0,1193,0,8064,6335,14587,1647,37.29,522592256
40,195,195,195,182,0,108,55,450,64,179,95,95,95,0,464,463,7958,6714,12254,1103,55.76,506871808
41,336,190,131,144,0,56,99,538,99,113,80,78,59,0,330,597,8331,6874,11785,1415,47.65,464748544
42,0,135,185,139,0,336,50,538,62,173,321,318,336,0,1148,596,8802,7219,14919,1691,37.07,451842048
43,81,92,101,147,0,133,56,373,73,147,131,130,131,0,539,417,9004,7767,10048,1199,48.7,445419520
44,0,0,0,0,0,207,0,354,7,0,200,206,206,0,612,0,8999,7998,8529,891,28.2,444948480
45,336,241,167,156,0,70,105,234,105,114,83,79,79,0,355,322,8708,8168,6529,467,8.61,432447488
46,0,95,169,180,0,78,84,336,94,222,65,69,69,0,425,382,9247,8166,9248,1023,44.71,389406720
47,0,0,0,0,0,114,0,336,3,0,114,114,114,0,342,0,8534,7514,9488,1034,18.62,397443072
48,0,0,0,0,0,222,0,222,3,0,222,222,222,0,666,0,8396,7730,7139,533,6.59,388947968
51,531,215,130,77,0,0,53,77,75,77,0,0,0,0,77,215,7101,6972,2980,112,1.92,297193472
52,62,326,331,54,0,0,331,131,394,53,0,0,0,0,53,541,7421,6842,5631,671,26.17,317280256
53,0,52,125,331,0,77,330,455,126,331,77,77,77,0,562,584,8284,6738,13224,1651,38.8,358965248
54,0,0,7,131,0,53,123,509,9,132,53,53,53,0,291,0,8170,6540,13652,1573,55.65,380592128
55,0,0,0,0,0,331,0,463,4,0,331,331,331,0,993,0,7435,6034,12919,1414,9.83,382730240
56,134,134,134,134,0,132,83,134,82,134,132,132,132,0,530,134,7032,6306,8252,418,14.67,355975168
58,0,0,0,0,0,134,0,134,6,0,134,134,134,0,402,0,6982,6568,9635,427,0.97,379322368
59,788,421,78,49,0,0,40,49,373,47,0,0,0,0,47,421,6776,6630,7752,25,9.47,373415936
60,0,74,346,222,0,0,343,271,345,103,0,0,0,0,103,495,7924,6630,17678,1306,40.16,452714496
61,0,293,323,321,0,42,155,552,189,442,43,43,43,0,571,748,8196,6630,13068,1598,50.23,462962688
62,226,196,133,251,0,92,174,710,97,251,91,91,91,0,524,850,9012,6877,17592,2067,41.74,483917824
63,423,124,113,41,0,367,112,743,203,39,394,394,367,0,1194,856,9485,7064,21617,2521,47.3,505106432
64,299,81,173,269,0,211,138,531,139,271,270,210,221,0,972,620,9134,7336,19500,1820,44.56,501620736
65,107,564,26,39,0,143,22,441,553,39,57,117,133,0,346,898,9190,7894,11669,1142,51.83,491130880
66,75,70,271,77,0,48,271,366,592,45,72,69,48,0,234,931,0,0,0,0,0,0
67,235,67,323,243,0,184,280,553,393,269,162,165,185,0,781,930,9248,6828,22082,2748,37.65,537010176
68,136,149,96,361,0,124,274,693,159,360,132,131,130,0,753,832,9357,6888,21600,2459,45.37,529563648
69,0,250,280,32,0,175,257,679,377,39,178,178,174,0,569,1058,9454,6813,23420,2844,53.24,543334400
70,0,0,127,266,0,236,257,759,130,261,248,233,231,0,973,0,9404,6684,24838,2701,37.57,554397696
71,0,0,0,118,0,283,118,654,3,123,258,274,282,0,937,0,9099,7548,18479,1281,59,527622144
72,0,0,0,0,0,261,0,384,4,0,261,261,261,0,783,0,8208,7044,17977,1180,4.93,524947456
73,242,242,185,117,0,123,85,123,85,116,123,123,123,0,485,242,7740,7474,12540,28,24.36,462295040
74,436,234,260,216,0,0,164,333,166,169,0,0,0,0,169,476,7814,7076,6417,754,44.94,447143936
75,0,202,233,260,0,110,112,583,185,307,114,114,114,0,649,678,8707,6866,14623,1811,48.62,349409280
76,72,72,72,157,0,175,85,557,53,158,171,171,171,0,671,508,8750,6932,15334,1720,49.13,389509120
77,136,136,136,112,0,203,85,465,118,89,207,207,207,0,710,408,8561,7266,13974,1279,32.35,390733824
78,390,218,187,147,0,262,82,394,104,155,258,258,258,0,929,403,8320,7238,9478,994,38.25,399564800
79,0,172,203,267,0,81,125,498,128,282,86,84,84,0,536,526,8938,7532,11149,1350,52.22,402235392
80,0,0,0,0,0,163,0,445,6,0,158,160,160,0,478,0,9122,7804,10496,1198,44,398082048
81,0,0,0,0,0,282,0,282,4,0,282,282,282,0,846,0,8964,8242,7434,547,11.99,380022784
85,748,330,239,83,0,0,169,83,169,79,0,0,0,0,79,330,8444,8175,2034,236,6.2,331517952
86,0,194,204,318,0,0,155,401,106,309,0,0,0,0,309,524,8434,7399,8533,1036,43.59,270401536
87,0,224,215,196,0,3,87,594,99,197,14,11,3,0,225,745,9051,7399,14006,1704,52.83,356909056
