series,count,min_ms,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms,max_ms
find_input,89569,17.139,1027.633,484.923,3037.541,3807.419,4920.205,5797.427,6401.267
remove,89569,0.816,18.155,5.932,39.680,107.079,150.103,708.961,956.263
insert,89539,1.708,20.709,8.153,53.381,110.669,150.765,246.194,954.786
find_output,89539,0.695,17.144,5.318,38.589,102.923,155.211,229.001,1128.812
task_cycle,89569,3553.166,6879.854,6531.594,9173.058,10046.987,10958.335,12412.821,13565.916
scheduler_queue,89569,0.011,38389.240,27743.580,88793.394,110642.453,155633.381,182469.706,208644.322
task_execution,89569,3553.166,6879.858,6531.594,9173.057,10046.987,10958.333,12412.820,13565.916
offered_to_finished,89569,3635.749,45269.098,34861.052,95733.895,117753.359,162310.590,189131.853,213125.668
offered_to_finished_arrival,74464,3635.749,38705.020,28183.722,86307.805,109002.049,143553.584,173291.433,210783.258
connection_open,89569,11.081,571.354,261.506,1639.578,2168.140,3146.623,3821.727,4229.261
demand_to_ready,89569,15.726,1012.693,471.741,3012.951,3773.672,4892.231,5747.892,6168.611
driver_open,89569,11.081,571.354,261.506,1639.578,2168.140,3146.623,3821.727,4229.261
handshake_hello,89569,0.406,6.567,1.119,9.687,24.864,128.882,202.179,372.845
handshake_auth,179138,0.330,17.536,5.170,41.528,103.683,173.555,237.250,377.700
client_create,89569,0.286,977.888,974.584,1505.179,1775.443,2536.968,3977.479,6195.824
