series,count,min_ms,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms,max_ms
find_input,85867,14.688,1543.510,642.714,4584.342,6069.942,8821.165,9769.405,10903.871
remove,85867,0.693,16.566,5.817,38.160,110.283,142.603,188.150,469.013
insert,85839,1.649,20.192,7.861,53.988,112.169,151.158,202.276,438.140
find_output,85839,0.571,17.160,5.118,37.732,110.836,160.959,211.519,305.884
task_cycle,85915,3539.590,7667.357,6686.531,11478.317,14148.658,18377.880,20332.769,22692.919
scheduler_queue,85915,0.012,39209.932,28766.688,95799.627,119491.015,157845.957,188474.241,225625.284
task_execution,85915,3539.593,7667.364,6686.535,11478.316,14148.660,18377.878,20332.769,22692.921
offered_to_finished,85915,3587.758,46877.296,36518.817,105314.121,127669.877,164809.532,195574.214,231206.209
offered_to_finished_arrival,72905,3587.758,43888.744,31839.102,100512.177,119620.304,157703.199,183691.015,196714.501
connection_open,85867,8.227,830.017,324.347,2426.668,3426.492,5155.842,6160.541,7252.932
demand_to_ready,85867,13.008,1528.528,626.505,4567.217,6052.990,8788.351,9748.593,10902.275
driver_open,85867,8.227,830.017,324.347,2426.668,3426.492,5155.842,6160.541,7252.932
handshake_hello,85867,0.371,6.548,1.101,9.714,23.266,131.865,196.540,404.582
handshake_auth,171734,0.228,14.989,4.278,33.094,91.445,158.847,198.979,366.770
client_create,85915,0.310,967.237,949.569,1561.153,1824.055,2837.928,4189.359,7006.845
