second,scheduled_tasks,started_tasks,conn_created,conn_ready,conn_failed,conn_closed,active_connecting,active_ready,waiting_for_server,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,616,587,250,242,0,0,70,242,66,242,0,0,0,0,242,587,5,0,505,20,0,80846848
1,771,572,387,364,0,0,83,606,81,363,0,0,0,0,363,1159,615,0,7166,997,34.77,195903488
2,126,342,350,370,0,0,71,976,73,369,0,0,0,0,369,1501,1391,0,14228,1968,49.78,326111232
3,279,291,339,343,0,0,32,1319,34,345,44,43,42,0,474,1792,2089,0,19858,2666,38.79,422469632
4,526,11,254,216,0,7,72,1528,94,216,328,323,323,0,1190,1797,2745,0,25010,3323,42.76,493019136
5,445,4,193,135,0,194,142,1581,119,133,356,349,322,0,1160,1676,3219,0,29369,3925,53.87,573014016
6,214,462,156,218,0,743,103,1467,60,220,414,423,450,0,1507,1532,2907,0,28740,3495,41.49,615837696
7,0,149,218,221,0,128,69,1072,47,221,233,237,238,0,929,1346,1977,0,26170,2576,42.98,623140864
8,164,341,258,276,0,323,67,1121,68,265,198,198,198,0,859,1364,2241,1,21797,2885,36.93,627089408
9,981,205,272,254,0,166,84,1080,62,265,227,227,222,0,941,1413,1935,1,22111,2535,42.54,652115968
10,173,207,273,290,0,161,41,1245,40,290,210,210,215,0,925,1481,2358,1,23056,2961,33.97,654479360
11,185,476,262,218,0,333,65,1208,62,218,208,206,204,0,836,1592,2310,1,23785,2938,42.38,660623360
12,265,97,273,267,0,115,84,1290,91,267,251,253,254,0,1025,1591,2480,1,26899,3162,40.87,676941824
13,1004,225,226,283,0,335,71,1353,76,283,323,320,321,1,1247,1580,2691,1,29338,3324,39.75,702226432
14,715,405,280,273,0,349,59,1211,58,273,252,251,249,0,1025,1537,2394,1,29518,3043,43.37,715378688
15,246,128,286,263,0,129,63,1274,54,263,255,255,257,0,1030,1550,2419,1,23269,3074,37.17,713842688
16,177,279,235,250,0,338,65,1312,61,244,261,264,264,0,1033,1552,2634,1,25847,3272,32.93,738414592
17,600,331,278,269,0,306,47,1213,48,275,269,264,262,0,1070,1505,2309,1,24763,2925,38.21,734388224
18,714,270,259,282,0,196,53,1224,54,282,236,241,243,0,1002,1568,2358,1,23019,3026,37.84,746500096
19,0,174,281,287,0,206,58,1294,55,282,272,268,266,0,1088,1570,2553,1,25691,3219,38.65,703553536
20,248,354,262,250,0,348,84,1294,79,255,236,238,240,1,969,1606,2623,1,25309,3271,33.93,714641408
21,101,206,270,280,0,181,67,1334,57,277,284,273,271,0,1105,1562,2479,1,26240,3119,33.75,721428480
22,268,309,246,249,0,369,45,1301,45,242,314,324,326,0,1206,1561,2571,1,26214,3249,38.27,725958656
23,0,337,302,245,0,266,198,1198,202,254,235,237,237,0,963,1657,2384,1,23977,3031,34.76,691154944
24,300,54,267,273,0,75,108,1386,106,271,232,232,232,0,967,1589,2572,1,26895,3269,38.77,703385600
25,778,429,204,254,0,496,74,1353,29,254,305,300,299,0,1158,1549,2553,1,26088,3255,33.7,715087872
26,825,283,329,312,0,182,72,1238,57,308,202,207,208,0,925,1582,2257,1,22841,2950,37.45,675106816
27,0,238,267,269,0,248,50,1289,49,274,300,300,300,0,1174,1604,2468,1,24364,3171,44.61,700870656
28,797,200,227,230,0,278,55,1323,53,210,289,289,289,0,1077,1601,2652,1,27101,3349,34.31,706408448
