second,scheduled_tasks,started_tasks,conn_created,conn_ready,conn_failed,conn_closed,active_connecting,active_ready,waiting_for_server,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,246,246,117,56,0,0,61,56,61,56,0,0,0,0,56,246,5,0,502,19,4.57,80863232
1,795,679,305,345,0,0,60,401,72,342,0,0,0,0,342,925,249,0,3311,478,14.69,139235328
2,264,330,318,316,0,0,50,717,59,319,0,0,0,0,319,1255,916,0,10439,1460,47.86,265895936
3,172,222,316,329,0,0,23,1046,28,327,0,0,0,0,327,1477,1501,0,15069,2049,41.57,352485376
4,357,203,303,265,0,3,60,1308,60,267,227,224,223,0,941,1679,2219,0,20670,2752,39.37,438042624
5,170,1,177,141,0,66,86,1384,73,141,275,275,270,0,961,1614,2763,0,25227,3354,35.91,533909504
6,676,303,174,252,0,534,88,1471,77,251,343,343,349,0,1286,1530,3011,0,28149,3620,38.3,566571008
7,291,180,257,211,0,246,58,1099,57,211,325,326,323,0,1185,1378,2018,0,24388,2570,35.11,559185920
8,311,405,220,265,0,376,54,1135,37,266,214,214,217,0,911,1371,2254,0,27250,2815,46.66,612159488
9,0,253,279,272,0,158,44,1071,46,272,199,200,198,0,869,1442,1988,0,27925,2581,37.98,651296768
10,352,157,284,252,0,142,59,1229,50,252,205,206,208,0,871,1481,2300,0,31222,2897,43.36,704917504
11,173,310,237,237,0,277,53,1231,46,237,259,259,256,0,1011,1520,2449,0,23916,3037,38.45,715448320
12,936,135,271,267,0,153,58,1264,65,267,273,273,273,0,1086,1519,2381,0,23006,2966,37.98,728772608
13,446,379,204,239,0,462,50,1280,68,238,277,277,279,0,1071,1469,2587,0,25567,3189,32.65,731045888
14,428,247,287,269,0,143,45,1156,36,267,220,212,209,0,908,1491,2145,0,23158,2737,34.9,724750336
15,149,263,302,316,0,257,55,1260,56,317,283,285,289,0,1174,1547,2417,0,23313,3008,34.46,740098048
