second,target_syn_sent,target_established,target_time_wait,target_close_wait,target_fin_wait1,target_fin_wait2,target_total_sockets,target_distinct_local_ports,host_total_tcp_sockets,host_total_time_wait,ephemeral_ports_in_use,ephemeral_util_pct
0,0,476,7950,0,0,0,8138,8138,8149,7950,8148,14.672
1,0,675,7360,0,0,0,8035,8035,8046,7360,8045,14.486
2,0,675,7460,0,0,70,7983,7983,7994,7460,7993,14.393
3,0,219,7098,0,0,179,7311,7311,7322,7098,7321,13.183
4,0,1116,6476,0,0,31,7592,7592,7603,6476,7602,13.689
5,1,1419,6476,0,0,0,7592,7592,7604,6476,7603,13.69
6,0,1604,5549,0,7,133,6860,6860,6872,5549,6871,12.372
7,0,866,6040,0,0,103,6652,6652,6664,6040,6663,11.998
8,0,231,6040,0,0,97,6368,6368,6380,6040,6379,11.486
9,0,0,5790,0,0,76,5866,5866,5878,5790,5877,10.583
10,0,0,5478,0,0,0,5478,5478,5490,5478,5489,9.884
11,0,0,5106,0,0,0,5106,5106,5118,5106,5117,9.214
12,2,140,4550,0,0,0,4550,4550,4562,4550,4561,8.213
13,26,1164,4330,0,0,0,5438,5438,5450,4330,5449,9.812
14,4,1436,4222,0,0,26,5688,5688,5700,4222,5699,10.262
15,5,1836,4230,0,0,45,5928,5928,5940,4230,5939,10.694
16,7,1737,4786,0,2,134,6123,6123,6135,4786,6134,11.045
17,0,1040,4908,0,1,204,5950,5950,5962,4908,5961,10.734
18,6,1383,4556,0,0,107,5967,5967,5980,4556,5979,10.766
19,0,1365,4644,0,1,122,6058,6058,6071,4644,6070,10.93
20,0,999,4382,0,0,124,5406,5406,5419,4382,5418,9.756
21,4,933,4528,0,0,120,5291,5291,5304,4528,5303,9.549
22,6,1253,4624,0,0,59,5883,5883,5896,4624,5895,10.615
23,1,1927,4640,0,0,8,6575,6575,6588,4640,6587,11.861
24,0,1863,5252,0,6,118,6689,6689,6702,5252,6701,12.066
25,0,1080,5492,0,1,147,6591,6591,6604,5492,6603,11.89
26,0,435,5712,0,0,159,6306,6306,6319,5712,6318,11.377
27,0,309,5474,0,0,48,5783,5783,5796,5474,5795,10.435
28,0,309,5474,0,0,0,5783,5783,5796,5474,5795,10.435
29,0,309,5680,0,0,100,5783,5783,5796,5680,5795,10.435
30,0,0,5680,0,0,100,5780,5780,5793,5680,5792,10.429
31,5,455,5680,0,0,0,6135,6135,6148,5680,6147,11.069
32,8,1190,5680,0,0,0,6704,6704,6718,5680,6717,12.095
33,10,1602,5230,0,0,0,6836,6836,6850,5230,6849,12.333
35,0,2337,5718,0,5,151,8008,8008,8021,5718,8020,14.441
36,4,2324,5950,0,1,151,7961,7961,7974,5950,7973,14.357
37,3,1939,5822,0,5,186,7890,7888,7903,5822,7900,14.225
38,4,1427,6212,0,4,176,7819,7819,7832,6212,7831,14.101
39,0,1401,6716,0,3,145,7912,7912,7925,6716,7924,14.268
40,3,1516,7076,0,1,144,8354,8354,8367,7077,8366,15.064
41,2,1392,7300,0,1,137,8677,8677,8690,7301,8689,15.646
42,1,1485,7800,0,0,195,9003,9003,9016,7801,9015,16.233
43,2,1164,8094,0,2,156,9050,9050,9063,8095,9062,16.318
44,2,654,8400,0,0,198,8978,8978,8991,8401,8990,16.188
45,1,891,8194,0,0,106,9048,9048,9061,8195,9060,16.314
46,0,1008,7620,0,0,81,8709,8709,8722,7621,8721,15.704
47,0,879,7656,0,0,191,8278,8278,8291,7657,8290,14.928
48,0,297,7770,0,0,213,8017,8017,8030,7771,8029,14.458
49,0,0,7508,0,0,48,7556,7556,7569,7509,7568,13.627
50,0,162,7168,0,0,0,7330,7330,7343,7169,7342,13.22
51,2,550,6842,0,0,0,7394,7394,7407,6843,7406,13.336
52,21,1582,6842,0,0,0,8445,8445,8458,6843,8457,15.228
53,0,1705,6924,0,2,111,8481,8481,8494,6925,8493,15.293
54,0,1404,6483,0,2,70,7802,7802,7815,6484,7814,14.07
55,0,960,6858,0,6,298,7189,7189,7202,6859,7201,12.967
56,2,402,6568,0,0,279,7045,7045,7058,6569,7057,12.707
57,0,402,6568,0,0,0,6970,6970,6983,6569,6982,12.572
58,0,402,6836,0,2,133,6970,6970,6984,6837,6982,12.572
59,44,922,6630,0,0,133,7552,7552,7566,6632,7565,13.622
60,3,1292,6630,0,0,0,7925,7925,7939,6632,7938,14.294
61,0,2262,6882,0,0,126,8994,8994,9008,6884,9007,16.219
62,1,2027,7156,0,3,124,9203,9203,9217,7158,9216,16.595
