second,scheduled_tasks,started_tasks,conn_created,conn_ready,conn_failed,conn_closed,active_connecting,active_ready,waiting_for_server,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,225,178,166,154,0,0,20,154,19,154,0,0,0,0,154,178,28,13,513,28,0,77541376
1,0,47,59,71,0,0,17,225,13,71,0,0,0,0,71,225,442,13,4437,686,32.3,153559040
2,0,0,0,0,0,154,0,225,5,0,154,154,154,0,462,0,481,13,4742,730,13.35,169111552
3,372,167,141,136,0,71,28,136,20,132,71,71,71,0,345,167,481,393,3005,350,11.14,163516416
4,0,205,231,236,0,0,188,372,191,240,0,0,0,0,240,372,1003,460,7447,1359,29.2,211550208
5,101,101,101,101,0,128,22,462,17,101,130,128,128,0,487,473,1223,460,8151,1406,26.72,236826624
6,77,77,77,77,0,244,31,349,35,77,242,244,244,0,807,389,1423,781,8698,1387,23.45,255635456
7,0,0,0,0,0,101,0,178,6,0,101,101,101,0,303,0,1577,1203,8375,1196,14.81,256876544
8,0,0,0,0,0,77,0,77,4,0,77,77,77,0,231,0,1577,1405,7570,994,2.55,245166080
12,899,130,104,92,0,0,18,92,19,92,0,0,0,0,92,130,1576,1558,6961,840,0.78,232570880
13,0,332,346,325,0,0,54,417,54,325,0,0,0,0,325,462,1927,1558,6312,1378,21.44,214683648
14,0,304,300,325,0,83,35,671,30,325,90,90,89,0,594,698,2603,1558,12607,2429,40.25,293445632
15,0,133,149,157,0,334,40,662,41,157,327,326,327,1,1137,709,3205,1854,16667,3013,44.86,363798528
16,0,0,0,0,0,321,0,482,8,0,325,322,322,0,969,0,3375,2521,15551,2607,23.95,364003328
17,333,73,67,52,0,161,24,160,22,51,157,160,160,0,528,73,3374,3116,13120,1999,9.19,339406848
18,0,260,266,281,0,0,39,333,40,282,0,0,0,0,282,333,3649,3356,14225,2155,17.76,346316800
